16:25:46,QUEUED,1
16:26:17,RUNNING,1
16:26:27,RUNNING,2
16:26:48,RUNNING,1
16:26:59,RUNNING,2
16:27:19,RUNNING,1
16:27:29,RUNNING,2
16:27:50,RUNNING,1
16:28:01,RUNNING,2
16:28:18,RUNNING,3
16:28:21,RUNNING,1
16:28:31,RUNNING,2
16:28:50,RUNNING,3
16:28:52,RUNNING,1
16:29:02,RUNNING,2
16:29:20,RUNNING,3
16:29:24,RUNNING,1
16:29:33,RUNNING,2
16:29:52,RUNNING,3
16:29:53,QUEUED,4
16:29:54,RUNNING,1
16:30:05,RUNNING,2
16:30:22,RUNNING,3
16:30:25,RUNNING,4
16:30:26,RUNNING,1
16:30:36,RUNNING,2
16:30:53,RUNNING,3
16:30:55,RUNNING,4
16:30:56,RUNNING,1
16:31:15,RUNNING,2
